rpm,voltage,statorCurrent,supplyCurrent,closedLoopError,distance,made,pressDuration,shotsInBurst
2665.3125,5.59,2.42,1.18,-115.3125,1.8846757701949297,true,0.0,0
2657.578125,5.5600000000000005,3.94,1.84,-107.578125,1.8842529105427437,true,0.0,0
2635.078125,5.14,2.98,1.5,-85.078125,1.883403295690532,true,0.0,0
2651.953125,5.29,2.98,1.5,-101.953125,1.8824871374441217,true,0.0,0
2565.46875,6.51,4.78,2.3000000000000003,134.53125,2.1258161530448914,true,0.0,0
2859.9609375,5.75,35.480000000000004,18.740000000000002,-109.9609375,2.135387357629536,true,0.0,0
2778.046875,7.2,4.44,2.04,-28.046875,2.1431322938373962,true,0.0,0
2799.84375,6.82,4.86,2.42,-49.84375,2.1435470147396787,true,0.0,0
2557.1484375,6.33,3.88,1.94,192.8515625,2.142887749144948,true,0.0,0
2584.453125,6.01,4.84,2.2800000000000002,165.546875,2.1364667853934582,true,0.0,0
2630.390625,6.09,3.74,1.8800000000000001,119.609375,2.138906221604539,true,0.0,0
2499.9609375,6.87,0.74,0.36,250.0390625,2.139509423179703,true,0.0,0
2592.3046875,6.92,2.94,1.42,157.6953125,2.1394502668811057,true,0.0,0
2531.25,6.66,4.5,2.3000000000000003,218.75,2.1442321513274623,true,0.0,0
2602.1484375,6.44,4.86,2.52,147.8515625,2.1366511997951214,true,0.0,0
2597.6953125,6.0,3.8200000000000003,1.98,152.3046875,2.1410941163398975,true,0.0,0
2598.8671875,6.67,3.3200000000000003,1.6400000000000001,151.1328125,2.138882097214675,true,0.0,0
2595.3515625,6.42,3.88,1.94,154.6484375,2.1394758675174845,true,0.0,0
2593.59375,6.17,3.62,1.74,156.40625,2.1376151548658813,true,0.0,0
2799.7265625,6.6000000000000005,4.1,2.16,-49.7265625,2.1406604099522215,true,0.0,0
2609.53125,6.17,3.56,1.8,140.46875,2.1384077704273468,true,0.0,0
3172.8515625,6.640000000000001,100.7,69.44,-22.8515625,2.8196170061343984,true,0.0,0
3167.34375,6.9,4.5,2.62,-17.34375,2.8312669729946154,true,0.0,0
2909.0625,7.9,3.64,2.18,240.9375,2.83177430086628,true,0.0,0
3067.6171875,7.59,5.14,2.9,82.3828125,2.8323268281455256,true,0.0,0
2932.734375,6.84,4.54,2.46,217.265625,2.830782811266084,true,0.0,0
2909.53125,6.99,3.58,2.06,240.46875,2.834348053188649,true,0.0,0
2999.8828125,7.34,4.84,2.74,150.1171875,2.8310236603832584,true,0.0,0
3188.90625,6.63,3.4,1.84,-38.90625,2.8348090867205396,true,0.0,0
2907.7734375,8.16,4.4,2.6,242.2265625,2.8259523641375353,true,0.0,0
2977.5,7.68,4.68,2.7600000000000002,172.5,2.826615885071664,true,0.0,0
3193.0078125,6.6000000000000005,2.22,1.26,-43.0078125,2.827394272247966,true,0.0,0
3234.9609375,8.18,4.66,2.5,-84.9609375,2.8301583880767875,true,0.0,0
2975.15625,7.0600000000000005,1.32,0.74,174.84375,2.8281207457329014,true,0.0,0
2965.078125,8.39,3.22,1.74,184.921875,2.8387401247033694,true,0.0,0
2980.546875,7.33,3.72,2.12,169.453125,2.836444269977147,true,0.0,0
2989.21875,7.68,4.66,2.58,160.78125,2.8352135074902125,true,0.0,0
3196.640625,8.31,5.76,3.38,53.359375,3.1723894891460267,true,0.0,0
3318.8671875,8.01,3.74,2.18,-68.8671875,3.1751378248394535,true,0.0,0
3354.140625,6.62,1.7,1.04,-104.140625,3.176172998016085,true,0.0,0
